Gender,Province of Origin,Residence Status,Last Education,Job,Marital Status,income_clean,age,Skor_Literasi,Skor_Adopsi_Fintech,Skor_Perilaku_Bijak,Skor_Impulsif,Skor_Rasa_Aman,Jumlah Rekening Penerima Pinjaman Aktif (entitas),Jumlah Dana yang Diberikan (Rp miliar),Jumlah Rekening Pemberi Pinjaman (akun),TWP 90%,Jumlah Penerima Pinjaman (akun),Outstanding Pinjaman (Rp miliar),Jumlah Penduduk (Ribu),PDRB (Ribu Rp),Urbanisasi (%)
Female,Jawa Barat,Parents House,Senior High School,Student,Not Married,2000000.0,23,2.9375,2.7777777777777777,3.090909090909091,3.0,2.4444444444444446,6818787,251.24,143127.0,3.41,4705372,20751.93,50759.0,56080,89.3
Female,Sumatera Barat,Rental House,Senior High School,Student,Not Married,2000000.0,21,2.5625,2.4444444444444446,2.6363636363636362,2.3333333333333335,2.4444444444444446,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Senior High School,Student,Not Married,2000000.0,22,3.1875,2.888888888888889,2.6363636363636362,2.3333333333333335,2.7777777777777777,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Rental House,Bachelor (S1)/Diploma IV,Student,Not Married,2000000.0,22,2.625,2.3333333333333335,2.3636363636363638,3.0,2.111111111111111,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Senior High School,Student,Not Married,2000000.0,22,3.9375,3.888888888888889,3.6363636363636362,1.3333333333333333,3.888888888888889,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Senior High School,Student,Not Married,2000000.0,23,3.875,4.0,3.6363636363636362,2.0,3.4444444444444446,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Rental House,Bachelor (S1)/Diploma IV,Student,Not Married,2000000.0,22,2.6875,2.111111111111111,2.272727272727273,2.3333333333333335,2.5555555555555554,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Male,Sumatera Barat,Rental House,Bachelor (S1)/Diploma IV,Student,Not Married,2000000.0,23,2.75,2.6666666666666665,3.0,2.0,2.2222222222222223,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Rental House,Senior High School,Student,Not Married,2000000.0,22,3.125,2.3333333333333335,3.1818181818181817,2.0,2.5555555555555554,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Own House,Senior High School,Student,Not Married,2000000.0,22,3.0,3.0,3.0,3.0,2.4444444444444446,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Male,Bengkulu,Boarding House,Senior High School,Student,Not Married,2000000.0,21,3.25,2.888888888888889,2.6363636363636362,2.0,3.0,138784,0.36,358.0,1.75,68108,478.3,2138.0,49233,35.6
Female,Aceh,Rental House,Senior High School,Student,Not Married,2000000.0,21,2.875,2.3333333333333335,2.6363636363636362,1.3333333333333333,3.4444444444444446,102897,1.63,615.0,0.82,70593,196.9,5626.0,43782,43.2
Male,Sumatera Barat,Rental House,Senior High School,Student,Not Married,2000000.0,17,4.0,4.0,3.909090909090909,1.3333333333333333,2.3333333333333335,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Rental House,Senior High School,Student,Not Married,2000000.0,23,2.5625,2.3333333333333335,3.1818181818181817,2.0,2.5555555555555554,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Male,Sumatera Barat,Rental House,Senior High School,Student,Not Married,2000000.0,23,3.0,3.0,3.272727272727273,3.0,2.0,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Kepulauan Riau,Rental House,Senior High School,Student,Not Married,2000000.0,17,2.8125,2.2222222222222223,2.6363636363636362,2.3333333333333335,2.888888888888889,309076,7.83,9212.0,1.8,180411,993.02,10678.0,161424,85.3
Female,Riau,Rental House,Senior High School,Student,Not Married,2000000.0,22,2.9375,2.6666666666666665,3.1818181818181817,2.3333333333333335,2.4444444444444446,542854,4.45,4273.0,1.66,282437,1565.78,2213.5,165350,41.8
Female,Sumatera Barat,Rental House,Bachelor (S1)/Diploma IV,Student,Not Married,2000000.0,20,2.75,2.2222222222222223,3.0,2.0,3.111111111111111,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Senior High School,Student,Not Married,2000000.0,22,3.5,2.5555555555555554,3.3636363636363638,1.0,2.7777777777777777,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Male,Sumatera Barat,Parents House,Senior High School,Student,Not Married,2000000.0,22,2.9375,3.0,3.0,3.0,2.4444444444444446,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Rental House,Senior High School,Student,Not Married,2000000.0,22,3.0,3.0,2.909090909090909,2.3333333333333335,2.4444444444444446,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
